N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,74500.0,300.0,-0.40%,100.0,3022314.0,4484245.0,433766.0
2.0,SK하이닉스,138500.0,2000.0,-1.42%,5000.0,446216.0,1038715.0,68094.0
3.0,LG에너지솔루션,426000.0,6500.0,-1.50%,500.0,255986.0,382994.0,12137.0
4.0,삼성바이오로직스,711000.0,8000.0,-1.11%,2500.0,30013.0,165821.0,9836.0
5.0,삼성전자우,59600.0,100.0,-0.17%,100.0,,,
6.0,현대차,197600.0,1500.0,-0.75%,5000.0,1425275.0,2557425.0,98198.0
7.0,POSCO홀딩스,488500.0,7500.0,-1.51%,5000.0,847502.0,984068.0,48501.0
8.0,기아,94500.0,500.0,-0.53%,5000.0,865590.0,737110.0,72331.0
9.0,NAVER,216500.0,4000.0,-1.81%,100.0,82201.0,338990.0,13047.0
10.0,LG화학,497500.0,6500.0,-1.29%,5000.0,518649.0,679738.0,29957.0
11.0,삼성SDI,452500.0,9500.0,-2.06%,5000.0,201241.0,302575.0,18080.0
12.0,포스코퓨처엠,373000.0,5000.0,+1.36%,500.0,33019.0,46375.0,1659.0
13.0,셀트리온,187200.0,900.0,+0.48%,1000.0,22840.0,58917.0,6472.0
14.0,삼성물산,128100.0,0.0,0.00%,100.0,431617.0,589815.0,25285.0
15.0,카카오,52500.0,1200.0,-2.23%,100.0,71068.0,229635.0,5803.0
16.0,현대모비스,229500.0,500.0,+0.22%,5000.0,519063.0,554067.0,20265.0
17.0,KB금융,53100.0,100.0,-0.19%,5000.0,888959.0,7011708.0,56389.0
18.0,신한지주,39150.0,250.0,-0.63%,5000.0,354133.0,6758843.0,58881.0
19.0,LG전자,99500.0,300.0,+0.30%,5000.0,834673.0,551561.0,35510.0
20.0,삼성생명,71200.0,100.0,-0.14%,500.0,403310.0,3161659.0,13866.0
21.0,SK이노베이션,138300.0,1300.0,-0.93%,5000.0,780569.0,672189.0,39173.0
22.0,LG,86600.0,100.0,+0.12%,5000.0,71860.0,296337.0,19414.0
