"행정구역","2013년11월_남_총인구수","2013년11월_남_연령구간인구수","2013년11월_남_0~4세","2013년11월_남_5~9세","2013년11월_남_10~14세","2013년11월_남_15~19세","2013년11월_남_20~24세","2013년11월_남_25~29세","2013년11월_남_30~34세","2013년11월_남_35~39세","2013년11월_남_40~44세","2013년11월_남_45~49세","2013년11월_남_50~54세","2013년11월_남_55~59세","2013년11월_남_60~64세","2013년11월_남_65~69세","2013년11월_남_70~74세","2013년11월_남_75~79세","2013년11월_남_80~84세","2013년11월_남_85~89세","2013년11월_남_90~94세","2013년11월_남_95~99세","2013년11월_남_100세 이상","2013년11월_여_총인구수","2013년11월_여_연령구간인구수","2013년11월_여_0~4세","2013년11월_여_5~9세","2013년11월_여_10~14세","2013년11월_여_15~19세","2013년11월_여_20~24세","2013년11월_여_25~29세","2013년11월_여_30~34세","2013년11월_여_35~39세","2013년11월_여_40~44세","2013년11월_여_45~49세","2013년11월_여_50~54세","2013년11월_여_55~59세","2013년11월_여_60~64세","2013년11월_여_65~69세","2013년11월_여_70~74세","2013년11월_여_75~79세","2013년11월_여_80~84세","2013년11월_여_85~89세","2013년11월_여_90~94세","2013년11월_여_95~99세","2013년11월_여_100세 이상"
"전국  (0000000000)","25,582,749","25,582,749","1,182,795","1,201,545","1,472,506","1,805,131","1,799,475","1,652,677","2,087,517","2,012,483","2,344,447","2,183,398","2,239,077","1,800,210","1,215,598","937,223","797,751","500,256","227,668","85,839","28,548","5,436","3,169","25,545,235","25,545,235","1,117,434","1,124,369","1,349,738","1,621,535","1,600,038","1,539,222","2,001,391","1,935,682","2,253,172","2,110,045","2,185,016","1,798,467","1,267,332","1,037,526","1,008,704","763,709","474,569","234,466","91,111","21,188","10,521"
"서울특별시  (1100000000)","5,013,816","5,013,816","209,952","206,594","251,614","321,481","349,617","381,684","477,525","415,241","461,310","407,253","417,135","357,449","250,335","198,608","159,622","87,741","37,856","14,599","5,790","1,319","1,091","5,140,364","5,140,364","199,101","194,736","233,454","293,434","341,377","391,233","471,215","406,078","455,928","411,194","435,454","385,848","270,935","218,848","178,613","119,279","72,031","38,613","15,560","4,291","3,142"
"부산광역시  (2600000000)","1,748,171","1,748,171","68,272","67,504","87,995","118,501","129,046","112,978","138,783","126,209","146,007","141,012","160,821","147,248","105,719","78,528","63,161","34,693","14,692","4,951","1,496","278","277","1,781,713","1,781,713","64,733","63,427","79,578","103,151","112,152","105,618","133,098","121,647","146,164","146,478","171,302","154,515","112,610","85,334","76,258","51,758","31,021","15,482","5,168","1,206","1,013"
"대구광역시  (2700000000)","1,246,930","1,246,930","52,794","56,681","75,939","97,466","98,298","78,945","91,790","91,957","111,309","110,111","112,791","88,207","62,597","43,348","37,484","22,706","9,802","3,509","928","169","99","1,256,353","1,256,353","49,783","52,139","67,121","83,580","78,057","68,093","92,460","92,892","115,557","112,688","115,610","90,535","68,184","50,489","49,066","35,195","20,795","9,668","3,350","731","360"
"인천광역시  (2800000000)","1,447,443","1,447,443","69,892","68,816","82,110","102,859","107,461","96,328","123,279","118,294","134,532","128,303","135,799","101,294","61,251","45,727","34,955","21,227","9,619","3,762","1,522","268","145","1,429,354","1,429,354","66,210","65,000","76,533","93,670","98,464","90,985","117,190","111,443","130,813","127,538","129,205","97,722","60,505","49,121","44,081","33,287","21,311","10,842","4,061","951","422"
"광주광역시  (2900000000)","730,623","730,623","36,605","39,520","51,353","61,506","55,521","46,261","59,254","58,772","66,610","61,430","57,962","43,251","30,227","23,975","19,260","11,412","5,087","1,972","538","76","31","743,066","743,066","34,263","36,769","47,103","56,723","50,375","44,807","59,005","58,676","67,216","61,470","59,130","45,490","33,146","27,063","24,374","17,689","11,153","5,428","2,378","563","245"
"대전광역시  (3000000000)","767,527","767,527","38,238","39,931","48,295","59,265","58,231","51,773","62,269","61,557","71,036","64,351","64,937","51,356","33,182","23,764","19,019","11,900","5,380","2,149","703","135","56","765,587","765,587","36,041","37,421","44,406","53,089","51,374","47,779","61,774","61,512","70,740","64,574","65,029","51,445","33,542","25,651","23,736","17,909","11,239","5,537","2,106","505","178"
"울산광역시  (3100000000)","595,076","595,076","29,912","29,111","36,293","47,524","46,227","38,571","49,673","46,060","53,436","55,917","55,846","41,869","26,201","16,476","12,020","6,170","2,645","822","239","50","14","560,791","560,791","28,116","26,538","32,155","40,238","36,028","32,309","45,522","43,945","54,129","53,597","51,846","39,339","24,436","16,286","14,352","10,388","6,558","3,447","1,233","239","90"
"세종특별자치시  (3600000000)","60,841","60,841","3,241","3,303","3,438","3,507","3,635","3,629","4,720","5,064","5,950","4,801","5,059","4,281","2,935","2,213","2,188","1,659","777","308","101","15","17","58,468","58,468","3,176","3,238","3,257","3,103","3,098","2,944","4,438","4,668","4,702","4,034","4,387","3,869","2,997","2,507","2,863","2,358","1,646","792","286","82","23"
"경기도  (4100000000)","6,152,044","6,152,044","317,043","326,057","382,130","443,170","424,336","389,003","512,295","520,619","610,750","551,729","538,948","395,652","239,631","184,813","151,308","96,232","43,890","16,516","6,116","1,152","654","6,067,742","6,067,742","300,185","307,812","354,275","405,569","392,107","367,104","499,245","510,427","589,570","528,024","501,259","377,511","244,947","205,094","189,410","142,323","86,308","43,747","17,000","3,992","1,833"
